no,file_name,type
1,mintcore_sticker.jpg,main
2,matcha_latte_strawberry_sticker.jpg,main
3,swimsuit_1_sticker.jpg,main
4,swimsuit_2_sticker.jpg,main
5,space_aquarium_kitty.jpg,main
6,redpink_strawberry_kiki.jpg,main
7,soda_melon_cherry_kitty.jpg,main
8,kitsch_medical_kitty.jpg,main
9,mojoji_1.jpg,main
10,mojoji_2.jpg,main
11,mojoji_3.jpg,main
12,mojoji_4.jpg,main
13,mojoji_5.jpg,main
14,lemontang_seals.jpg,main
15,summer_mini_seal_1.jpg,main
16,summer_mini_seal_2.jpg,main
17,inpal_domusong.jpg,main
18,keyring_1.jpg,main
19,keyring_2.jpg,main
1,bg_sabinevanerp-doors-3117027.jpg,example
1,eg_mintcore.jpg,example
1,eg_3200_seals.jpg,example
2,eg_matcha_latte.jpg,example
2,eg_3200_seals.jpg,example
3,bg_adil-photos-seascape-4788749.jpg,example
3,bg_claudia14-dolphin-203875.jpg,example
3,bg_ranerd-sea-5751723.jpg,example
3,bg_stocksnap-beach-2562563.jpg,example
3,eg_swimsuit_1.jpg,example
3,eg_3200_seals.jpg,example
4,bg_dyunmv-trees-5033072.jpg,example
4,bg_jancickal-palm-5408169.jpg,example
4,bg_raitrainer-palm-trees-383498.jpg,example
4,bg_walkerssk-la-digue-4710130.jpg,example
4,eg_swimsuit_2.jpg,example
4,eg_3200_seals.jpg,example
5,eg_space.jpg,example
6,eg_strawberry.jpg,example
7,eg_soda_melon.jpg,example
8,eg_kitsch_medical.jpg,example
9,eg_mojoji.jpg,example
14,bg_hans-lemon-1117565.jpg,example
14,bg_ptrabattoni-summer-361112.jpg,example
14,bg_queven-lemon-4982692.jpg,example
14,eg_lemontang.jpg,example
18,eg_keyring_1.jpg,example
18,eg_keyring_1_2.jpg,example
18,eg_keyring_1_3.jpg,example
19,eg_keyring_2.jpg,example
19,eg_keyring_2_2.jpg,example
19,eg_keyring_2_3.jpg,example
